"","GEOID","bls_agemploy"
"187","40135",0
"188","40117",0
"189","40101",0.00276748667243247
"190","40127",0
"191","40075",0
"192","41023",0.00165892501658925
"193","41061",0.0321031345950642
"194","41007",0.00720616557317674
"195","41003",0.0183445096561217
"196","41015",0.0143242060840162
"197","01131",0
"198","01079",0.0407047016675756
"199","01035",0
"200","05067",0.0617220894776559
"201","05001",0.0168973824325733
"202","05011",0
"203","05025",0
"204","05099",0
"205","48273",0.000376712328767123
"206","48179",0
"207","48195",0.0871926589938448
"208","48379",0.0126902985089722
"209","48277",0.00108044385869985
"210","45063",0.00635506833207664
"211","45051",0.00045424459295393
"212","45013",0.00167781504128238
"213","45045",0.000259561410173987
"214","45069",0.00864035462047302
"215","45021",0
"216","45007",0
"217","45087",0
"218","45027",0.0226975250823804
"219","45061",0.0213211647036907
"220","45039",0
"221","45017",0.0352388422736623
"222","45043",0.00625331752501711
"223","21181",0
"224","22103",0.000527574132294584
"225","47037",0.000227008959952794
"226","47045",0
"227","47129",0
"228","46023",0.0276183696937262
"229","47163",0
"230","47055",0
"231","47107",0
"232","47031",0.00373757128520139
"233","46055",0.0258528370231614
"234","47173",0
"235","47189",0
"236","46079",0.0123061551267341
"237","20151",0.054702175198953
"238","47097",0.0190988130367733
"239","47079",0.00525426816013582
"240","56039",0
"241","56029",0.0121982997393419
"242","54043",0
"243","54001",0
"244","54037",0.0025778076699252
"245","54049",0
"246","54109",0
"247","54005",0
"248","16005",0.00248047579971895
"249","04001",0
"250","12045",0
"251","12123",0
"252","29201",0.0167434797016117
"253","29069",0.0466861077861802
"254","29129",0
"255","29031",0.000645211863572419
"256","25027",0.00394884778044748
"257","26163",0.000579990109805654
"258","26021",0.0186387887415616
"259","26077",0.011543576342738
"260","26033",0
"261","26071",0
"262","37055",0
"263","48443",0
"264","48205",0.0366025340215861
"265","72113",0.00421941201130412
"266","72097",0.00900622597505472
"267","72037",0
"268","60030",0
"269","04013",0.00185849283108387
"270","15001",0.0282852163466025
"271","27167",0.116783814940497
"272","27133",0.0071270046665649
"273","27119",0.0560403260884991
"274","27069",0.0439292546943372
"275","27125",0.0257335757293556
"276","27023",0.0248496835754786
"277","26097",0
"278","38067",0.119599715107786
"279","48405",0
"280","48119",0.0491362585901793
"281","22019",0.000695240269488486
"282","22005",0.000767185390574495
"283","22071",0
"284","22113",0.00810794219762633
"285","22043",0
"286","38005",0.0778944303721013
"287","38097",0.127669078235515
"288","38095",0.0557442481346289
"289","38037",0.0201262741978714
"290","28093",0.00212562189903467
"291","28001",0
"292","28121",0.000974951046015978
"293","28143",0.0503921362731348
"294","28095",0.00102562106770148
"295","28039",0.0139332347465815
"296","28087",0
"297","28163",0.0330889328986976
"298","28053",0.0656765708313711
"299","16061",0.033587791256571
"300","16079",0
"301","16077",0.173795567968196
"302","02020",0.00232777470890647
"303","25011",0.0321593277452479
"304","51121",0.00133759831732698
"305","51075",0
"306","51093",0.0173248342238838
"307","51137",0.053904472314133
"308","51023",0.000381175035576337
"309","51009",0
"310","51007",0.00443611191350466
"311","51097",0.0342547096513083
"312","51081",0
"313","02066",0
"314","02240",0
"315","02195",0
"316","02275",0
"317","02164",0
"318","02110",0.00320609843676551
"319","02282",0
"320","32011",0.00411324617219074
"321","29197",0
"322","48301",0
"323","48155",0
"324","31015",0
"325","78010",0.000682777725187849
"326","78020",0
"327","23021",0.00135907396620244
"328","16025",0.144302483209608
"329","08107",0.00334456322733145
"330","08097",0
"331","08117",0
"332","08053",0
"333","08023",0.143293285899853
"334","08065",0
"335","08057",0
"336","13073",0.000468526989719817
