"","GEOID","perc_over65"
"1148","19101",25.7
"1149","01009",18.6
"1150","21059",17.4
"1151","48187",14.5
"1152","22041",19.4
"1153","22127",19
"1154","28119",18.2
"1155","30099",23.2
"1156","30059",34.5
"1157","51029",20.2
"1158","51147",16.7
"1159","51031",20.7
"1160","54019",22.3
"1161","54043",20.5
"1162","06025",13.5
"1163","01119",19.2
"1164","05107",20.1
"1165","06085",14.4
"1166","06009",28.7
"1167","13191",29.3
"1168","13215",14.4
"1169","16059",30.4
"1170","22005",12.7
"1171","01051",16.1
"1172","46123",24
"1173","22065",16.8
"1174","24031",16.6
"1175","28149",18.1
"1176","37013",25
"1177","38087",27.5
"1178","48203",17.2
"1179","02110",15.1
"1180","48391",22.5
"1181","49045",9
"1182","51057",23.6
"1183","54071",29.1
"1184","06103",20
"1185","13089",13.3
"1186","13123",26.4
"1187","13075",16.1
"1188","19069",21.4
"1189","21017",19.5
"1190","21069",18.5
"1191","48057",18.6
"1192","51195",20
"1193","53061",14.4
"1194","05001",19.9
"1195","05147",24.4
"1196","08013",15.8
"1197","12107",23.5
"1198","13189",18.5
"1199","13269",21.5
"1200","16033",13.1
"1201","19083",23
"1202","21007",22
"1203","22055",14.3
"1204","26119",32.9
"1205","29029",28.9
"1206","30077",20.9
"1207","37147",14.3
"1208","37099",20.4
"1209","38037",28.9
"1210","41043",19.2
"1211","42005",23.4
"1212","47005",23.7
"1213","48133",21.9
"1214","48155",29
"1215","51149",12.9
"1216","54045",22
"1217","78020",NA
"1218","08005",14
"1219","13103",12.2
"1220","04003",24.2
"1221","06083",16.2
"1222","06051",16.4
"1223","22101",18
"1224","22037",19.6
"1225","24035",20.2
"1226","37095",22.8
"1227","37173",19.7
"1228","02013",11.5
"1229","42101",14.4
"1230","26029",26.2
"1231","29031",17.2
"1232","30031",13.3
"1233","33007",25.2
"1234","16031",13.7
"1235","17185",22
"1236","26063",26.6
"1237","27077",25.6
"1238","36103",17.5
"1239","46085",18
"1240","18145",17.9
"1241","20097",22.3
"1242","21125",16.8
"1243","49035",11.6
"1244","51790",21
"1245","60020",NA
"1246","11001",12.7
"1247","12039",19.4
"1248","17031",15.5
"1249","06015",19.8
"1250","23025",22.6
"1251","37031",26.3
"1252","39095",17.1
"1253","02188",8.4
"1254","25011",23.9
"1255","01063",24
"1256","30071",23.7
"1257","35007",28.4
"1258","19089",20.4
"1259","19045",20.1
"1260","01117",16.4
"1261","47037",12.7
"1262","18107",18.5
"1263","20161",9.8
"1264","21205",14.2
"1265","51119",33.5
"1266","51199",17.3
"1267","53075",11.6
"1268","55029",31.5
"1269","55037",28.4
"1270","06055",20.6
"1271","13139",16
"1272","16077",15.7
"1273","17035",20.3
"1274","37153",17.9
"1275","37103",23.8
"1276","48073",18
"1277","48063",18
"1278","19021",16
"1279","21151",14.6
"1280","45029",20.1
"1281","47151",16.9
"1282","48141",12.8
"1283","51091",34.3
"1284","51165",19.8
"1285","53015",19.5
"1286","08111",20.7
"1287","13135",10.9
"1288","13077",14.7
"1289","13271",17.9
"1290","13283",18.5
"1291","16023",19.9
"1292","31171",33.1
"1293","34013",14
"1294","36043",21.6
"1295","37017",23.2
"1296","38005",15.4
"1297","48001",15
"1298","48199",17.4
"1299","48243",39.1
"1300","45035",14.8
"1301","46055",28.4
"1302","21065",19.4
"1303","22079",16.7
"1304","23007",23.1
"1305","27149",16.7
"1306","28121",16.3
"1307","30043",22.8
"1308","40013",17.4
"1309","51105",22.6
"1310","05069",18.1
"1311","51053",18.7
"1312","51830",17.1
"1313","54075",26.7
"1314","05093",15.2
"1315","45063",16.7
"1316","27027",13.9
"1317","33015",19.5
"1318","41013",25.1
"1319","45031",19.5
"1320","13251",20.2
"1321","05145",16.6
"1322","29069",18.5
"1323","48329",10.6
"1324","51167",23
"1325","12055",35.9
"1326","18183",18.6
"1327","21197",15.7
"1328","22053",16.5
"1329","51117",26.6
"1330","19143",22
"1331","21071",19.4
"1332","48323",11.9
"1333","12133",18.3
"1334","37111",20.7
"1335","48503",21
"1336","46075",21.7
"1337","06095",16.9
"1338","12017",36.3
"1339","13137",19
"1340","01085",20.1
"1341","22113",16.1
"1342","25023",19.2
"1343","27043",23.2
"1344","29189",18.7
"1345","35017",29.5
"1346","37139",18.1
"1347","42055",20
"1348","48043",25.3
"1349","53073",18.5
"1350","55043",18
"1351","05023",27.3
"1352","13019",17.8
"1353","18051",17.7
"1354","21177",20
"1355","22097",16.6
"1356","23021",26.9
"1357","27021",26.8
"1358","35037",25.8
"1359","37023",21.2
"1360","41061",21
"1361","42097",21.7
"1362","47035",31.8
"1363","48333",28.9
"1364","01061",20.4
"1365","01039",21.9
"1366","01111",20.7
"1367","01059",17.2
"1368","01093",21.1
"1369","05127",21.2
"1370","05077",20
"1371","05005",31.1
"1372","05105",20.5
"1373","06049",31
"1374","08063",19.9
"1375","08125",17.7
"1376","08099",18.6
"1377","12087",24.3
"1378","12021",33.6
"1379","45089",22
"1380","21203",19.2
"1381","22013",21
"1382","26137",21.7
"1383","30093",19.2
"1384","36115",20.9
"1385","42059",20
"1386","47025",19.8
"1387","48215",11.5
